Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSLog 01,Chrome 111.0.0.0,Data driven from excel,,2023-04-17 16:36:13,2023-04-17 16:36:51,38.140s,PASSED
,,,,,,,
Test Cases/Login/TCLog 01 Input username dan password valid,Chrome 111.0.0.0,Input username dan password valid,Login,2023-04-17 16:36:14,2023-04-17 16:36:27,12.905s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 16:36:15,2023-04-17 16:36:19,3.948s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 16:36:19,2023-04-17 16:36:20,1.640s,PASSED
"setText(findTestObject(""Login/input_user-name""), findTestData(""Data Login"").getValue(1, 1))",Chrome 111.0.0.0,,,2023-04-17 16:36:20,2023-04-17 16:36:23,3.129s,PASSED
"setText(findTestObject(""Login/input_password""), findTestData(""Data Login"").getValue(2, 2))",Chrome 111.0.0.0,,,2023-04-17 16:36:23,2023-04-17 16:36:24,1.111s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 16:36:24,2023-04-17 16:36:25,0.627s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 16:36:25,2023-04-17 16:36:27,1.672s,PASSED
,,,,,,,
Test Cases/Login/TCLog 01 Input username dan password valid,Chrome 111.0.0.0,Input username dan password valid,Login,2023-04-17 16:36:27,2023-04-17 16:36:35,8.426s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 16:36:27,2023-04-17 16:36:30,2.792s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 16:36:30,2023-04-17 16:36:31,1.306s,PASSED
"setText(findTestObject(""Login/input_user-name""), findTestData(""Data Login"").getValue(1, 1))",Chrome 111.0.0.0,,,2023-04-17 16:36:31,2023-04-17 16:36:32,1.269s,PASSED
"setText(findTestObject(""Login/input_password""), findTestData(""Data Login"").getValue(2, 2))",Chrome 111.0.0.0,,,2023-04-17 16:36:32,2023-04-17 16:36:33,1.019s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 16:36:33,2023-04-17 16:36:34,0.591s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 16:36:34,2023-04-17 16:36:35,1.411s,PASSED
,,,,,,,
Test Cases/Login/TCLog 01 Input username dan password valid,Chrome 111.0.0.0,Input username dan password valid,Login,2023-04-17 16:36:35,2023-04-17 16:36:43,7.987s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 16:36:35,2023-04-17 16:36:38,2.427s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 16:36:38,2023-04-17 16:36:39,1.370s,PASSED
"setText(findTestObject(""Login/input_user-name""), findTestData(""Data Login"").getValue(1, 1))",Chrome 111.0.0.0,,,2023-04-17 16:36:39,2023-04-17 16:36:40,1.177s,PASSED
"setText(findTestObject(""Login/input_password""), findTestData(""Data Login"").getValue(2, 2))",Chrome 111.0.0.0,,,2023-04-17 16:36:40,2023-04-17 16:36:41,0.967s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 16:36:41,2023-04-17 16:36:42,0.611s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 16:36:42,2023-04-17 16:36:43,1.403s,PASSED
,,,,,,,
Test Cases/Login/TCLog 01 Input username dan password valid,Chrome 111.0.0.0,Input username dan password valid,Login,2023-04-17 16:36:43,2023-04-17 16:36:51,7.910s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 16:36:43,2023-04-17 16:36:46,2.711s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 16:36:46,2023-04-17 16:36:47,0.959s,PASSED
"setText(findTestObject(""Login/input_user-name""), findTestData(""Data Login"").getValue(1, 1))",Chrome 111.0.0.0,,,2023-04-17 16:36:47,2023-04-17 16:36:48,1.147s,PASSED
"setText(findTestObject(""Login/input_password""), findTestData(""Data Login"").getValue(2, 2))",Chrome 111.0.0.0,,,2023-04-17 16:36:48,2023-04-17 16:36:49,1.052s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 16:36:49,2023-04-17 16:36:50,0.583s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 16:36:50,2023-04-17 16:36:51,1.440s,PASSED
