Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSLog 01 Akun teregistrasi,Chrome 111.0.0.0,Data driven from excel,,2023-04-17 17:07:40,2023-04-17 17:08:23,42.627s,PASSED
,,,,,,,
Test Cases/Login/TCLog 01 Akun 1,Chrome 111.0.0.0,Input username dan password valid,Login,2023-04-17 17:07:41,2023-04-17 17:07:53,12.008s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 17:07:42,2023-04-17 17:07:46,3.869s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 17:07:46,2023-04-17 17:07:47,0.961s,PASSED
"setText(findTestObject(""Login/input_user-name""), findTestData(""Data Login"").getValue(1, 1))",Chrome 111.0.0.0,,,2023-04-17 17:07:47,2023-04-17 17:07:50,3.136s,PASSED
"setText(findTestObject(""Login/input_password""), findTestData(""Data Login"").getValue(2, 1))",Chrome 111.0.0.0,,,2023-04-17 17:07:50,2023-04-17 17:07:51,0.957s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 17:07:51,2023-04-17 17:07:52,0.589s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 17:07:52,2023-04-17 17:07:53,1.585s,PASSED
,,,,,,,
Test Cases/Login/TCLog 02 Akun 2,Chrome 111.0.0.0,Input username dan password valid,Login,2023-04-17 17:07:53,2023-04-17 17:08:01,7.320s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 17:07:54,2023-04-17 17:07:57,2.609s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 17:07:57,2023-04-17 17:07:57,0.704s,PASSED
"setText(findTestObject(""Login/input_user-name""), findTestData(""Data Login"").getValue(1, 2))",Chrome 111.0.0.0,,,2023-04-17 17:07:57,2023-04-17 17:07:59,1.237s,PASSED
"setText(findTestObject(""Login/input_password""), findTestData(""Data Login"").getValue(2, 2))",Chrome 111.0.0.0,,,2023-04-17 17:07:59,2023-04-17 17:08:00,1.007s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 17:08:00,2023-04-17 17:08:00,0.504s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 17:08:00,2023-04-17 17:08:01,0.569s,PASSED
,,,,,,,
Test Cases/Login/TCLog 03 Akun 3,Chrome 111.0.0.0,Input username dan password valid,Login,2023-04-17 17:08:01,2023-04-17 17:08:09,8.799s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 17:08:01,2023-04-17 17:08:04,2.668s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 17:08:04,2023-04-17 17:08:05,0.998s,PASSED
"setText(findTestObject(""Login/input_user-name""), findTestData(""Data Login"").getValue(1, 3))",Chrome 111.0.0.0,,,2023-04-17 17:08:05,2023-04-17 17:08:06,1.229s,PASSED
"setText(findTestObject(""Login/input_password""), findTestData(""Data Login"").getValue(2, 3))",Chrome 111.0.0.0,,,2023-04-17 17:08:06,2023-04-17 17:08:07,0.937s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 17:08:07,2023-04-17 17:08:08,0.578s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 17:08:08,2023-04-17 17:08:09,1.698s,PASSED
,,,,,,,
Test Cases/Login/TCLog 04 Akun 4,Chrome 111.0.0.0,Input username dan password valid,Login,2023-04-17 17:08:10,2023-04-17 17:08:23,13.455s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 17:08:10,2023-04-17 17:08:13,2.812s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 17:08:13,2023-04-17 17:08:14,1.047s,PASSED
"setText(findTestObject(""Login/input_user-name""), findTestData(""Data Login"").getValue(1, 4))",Chrome 111.0.0.0,,,2023-04-17 17:08:14,2023-04-17 17:08:15,1.110s,PASSED
"setText(findTestObject(""Login/input_password""), findTestData(""Data Login"").getValue(2, 4))",Chrome 111.0.0.0,,,2023-04-17 17:08:15,2023-04-17 17:08:16,0.973s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 17:08:16,2023-04-17 17:08:22,5.579s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 17:08:22,2023-04-17 17:08:23,1.330s,PASSED
