Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSLog 02 Verifikasi login,Chrome 111.0.0.0,Verifikasi login menggunakan data variable global,,2023-04-17 17:12:20,2023-04-17 17:13:24,1m - 3.976s,PASSED
,,,,,,,
Test Cases/Login/TCLog 05 Akun tidak terdaftar,Chrome 111.0.0.0,Akun tidak terdaftar,Login,2023-04-17 17:12:20,2023-04-17 17:12:37,17.038s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 17:12:21,2023-04-17 17:12:25,3.788s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 17:12:25,2023-04-17 17:12:26,1.418s,PASSED
"setText(findTestObject(""Login/input_user-name""), ""user assasin"")",Chrome 111.0.0.0,,,2023-04-17 17:12:26,2023-04-17 17:12:28,1.364s,PASSED
"setText(findTestObject(""Login/input_password""), ""assasin"")",Chrome 111.0.0.0,,,2023-04-17 17:12:28,2023-04-17 17:12:29,1.014s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 17:12:29,2023-04-17 17:12:29,0.608s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 17:12:29,2023-04-17 17:12:30,0.851s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-04-17 17:12:30,2023-04-17 17:12:37,7.256s,PASSED
,,,,,,,
Test Cases/Login/TCLog 05 Input username valid password null,Chrome 111.0.0.0,Input username valid password null,Login,2023-04-17 17:12:37,2023-04-17 17:12:52,14.928s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 17:12:38,2023-04-17 17:12:40,1.631s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 17:12:40,2023-04-17 17:12:41,1.643s,PASSED
"setText(findTestObject(""Login/input_user-name""), username)",Chrome 111.0.0.0,,,2023-04-17 17:12:41,2023-04-17 17:12:43,1.481s,PASSED
"setText(findTestObject(""Login/input_password""), """")",Chrome 111.0.0.0,,,2023-04-17 17:12:43,2023-04-17 17:12:44,0.960s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 17:12:44,2023-04-17 17:12:44,0.594s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 17:12:44,2023-04-17 17:12:45,0.589s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-04-17 17:12:45,2023-04-17 17:12:52,7.436s,PASSED
,,,,,,,
Test Cases/Login/TCLog 06 Input username null dan password valid,Chrome 111.0.0.0,Input username null dan password valid,Login,2023-04-17 17:12:52,2023-04-17 17:13:08,15.902s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 17:12:53,2023-04-17 17:12:55,1.625s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 17:12:55,2023-04-17 17:12:57,2.487s,PASSED
"setText(findTestObject(""Login/input_user-name""), """")",Chrome 111.0.0.0,,,2023-04-17 17:12:57,2023-04-17 17:12:58,1.125s,PASSED
"setText(findTestObject(""Login/input_password""), password)",Chrome 111.0.0.0,,,2023-04-17 17:12:58,2023-04-17 17:12:59,1.005s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 17:12:59,2023-04-17 17:13:00,0.608s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 17:13:00,2023-04-17 17:13:01,0.671s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-04-17 17:13:01,2023-04-17 17:13:08,7.798s,PASSED
,,,,,,,
Test Cases/Login/TCLog 07 Input username dan password null,Chrome 111.0.0.0,Input username dan password null,Login,2023-04-17 17:13:08,2023-04-17 17:13:24,15.480s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-17 17:13:09,2023-04-17 17:13:11,1.668s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 111.0.0.0,,,2023-04-17 17:13:11,2023-04-17 17:13:12,0.991s,PASSED
"setText(findTestObject(""Login/input_user-name""), """")",Chrome 111.0.0.0,,,2023-04-17 17:13:12,2023-04-17 17:13:13,1.072s,PASSED
"setText(findTestObject(""Login/input_password""), """")",Chrome 111.0.0.0,,,2023-04-17 17:13:13,2023-04-17 17:13:14,0.972s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 111.0.0.0,,,2023-04-17 17:13:14,2023-04-17 17:13:14,0.528s,PASSED
takeFullPageScreenshot(),Chrome 111.0.0.0,,,2023-04-17 17:13:14,2023-04-17 17:13:15,0.567s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-04-17 17:13:15,2023-04-17 17:13:24,9.124s,PASSED
