Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSLog 01 Akun 5 Data Files,Chrome 112.0.0.0,Test case dengan 5 data,,2023-04-18 13:15:26,2023-04-18 13:16:31,1m - 4.974s,PASSED
,,,,,,,
Test Cases/Login/Positive/TCLog 01 Akun 1 (5 Data files),Chrome 112.0.0.0,Input username dan password dengan 5 data,Login,2023-04-18 13:15:27,2023-04-18 13:15:38,10.733s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-18 13:15:28,2023-04-18 13:15:32,3.809s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 112.0.0.0,,,2023-04-18 13:15:32,2023-04-18 13:15:33,1.023s,PASSED
"setText(findTestObject(""Login/input_user-name""), username)",Chrome 112.0.0.0,,,2023-04-18 13:15:33,2023-04-18 13:15:34,1.037s,PASSED
"setText(findTestObject(""Login/input_password""), password)",Chrome 112.0.0.0,,,2023-04-18 13:15:34,2023-04-18 13:15:35,0.833s,PASSED
takeFullPageScreenshot(),Chrome 112.0.0.0,,,2023-04-18 13:15:35,2023-04-18 13:15:35,0.778s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 112.0.0.0,,,2023-04-18 13:15:35,2023-04-18 13:15:36,0.939s,PASSED
takeFullPageScreenshot(),Chrome 112.0.0.0,,,2023-04-18 13:15:36,2023-04-18 13:15:38,1.508s,PASSED
,,,,,,,
Test Cases/Login/Positive/TCLog 01 Akun 1 (5 Data files),Chrome 112.0.0.0,Input username dan password dengan 5 data,Login,2023-04-18 13:15:38,2023-04-18 13:15:47,8.709s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-18 13:15:38,2023-04-18 13:15:41,2.990s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 112.0.0.0,,,2023-04-18 13:15:41,2023-04-18 13:15:42,1.104s,PASSED
"setText(findTestObject(""Login/input_user-name""), username)",Chrome 112.0.0.0,,,2023-04-18 13:15:42,2023-04-18 13:15:43,0.892s,PASSED
"setText(findTestObject(""Login/input_password""), password)",Chrome 112.0.0.0,,,2023-04-18 13:15:43,2023-04-18 13:15:44,0.823s,PASSED
takeFullPageScreenshot(),Chrome 112.0.0.0,,,2023-04-18 13:15:44,2023-04-18 13:15:44,0.505s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 112.0.0.0,,,2023-04-18 13:15:44,2023-04-18 13:15:45,0.580s,PASSED
takeFullPageScreenshot(),Chrome 112.0.0.0,,,2023-04-18 13:15:45,2023-04-18 13:15:47,1.758s,PASSED
,,,,,,,
Test Cases/Login/Positive/TCLog 01 Akun 1 (5 Data files),Chrome 112.0.0.0,Input username dan password dengan 5 data,Login,2023-04-18 13:15:47,2023-04-18 13:16:00,13.466s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-18 13:15:47,2023-04-18 13:15:50,2.924s,PASSED
"navigateToUrl(""https://www.saucedemo.com/ "")",Chrome 112.0.0.0,,,2023-04-18 13:15:50,2023-04-18 13:15:51,1.045s,PASSED
"setText(findTestObject(""Login/input_user-name""), username)",Chrome 112.0.0.0,,,2023-04-18 13:15:51,2023-04-18 13:15:52,0.829s,PASSED
"setText(findTestObject(""Login/input_password""), password)",Chrome 112.0.0.0,,,2023-04-18 13:15:52,2023-04-18 13:15:52,0.882s,PASSED
takeFullPageScreenshot(),Chrome 112.0.0.0,,,2023-04-18 13:15:52,2023-04-18 13:15:53,0.593s,PASSED
"click(findTestObject(""Login/input_login-button""))",Chrome 112.0.0.0,,,2023-04-18 13:15:53,2023-04-18 13:15:59,5.722s,PASSED
takeFullPageScreenshot(),Chrome 112.0.0.0,,,2023-04-18 13:15:59,2023-04-18 13:16:00,1.449s,PASSED
,,,,,,,
Test Cases/Login/Positive/TCLog 01 Akun 1 (5 Data files),Chrome 112.0.0.0,Input username dan password dengan 5 data,Login,2023-04-18 13:16:00,2023-04-18 13:16:07,6.619s,PASSED
